rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0070,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0070,B01B0106,5420072764696,5420072764696,5420072764696,5420072764696,ด็อกเตอร์คลีนผ้าอ้อมL XL11ชิ้น,8,112.87,17 Feb 10:06PM
0071,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0071,B01B0106,8888336032917,8888336032917,8888336032917,8888336032917,ฮักกี้ซอฟท์แอนด์สลิมXL 38ชิ้น,2,431.7,17 Feb 10:07PM
0072,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0072,B01B0106,8888336032917,8888336032917,8888336032917,8888336032917,ฮักกี้ซอฟท์แอนด์สลิมXL 38ชิ้น,3,431.7,17 Feb 10:07PM
0073,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0073,B01B0106,8888336032900,8888336032900,8888336032900,8888336032900,ฮักกี้ซอฟท์แอนด์สลิมXXL 32ชิ้น,1,431.7,17 Feb 10:07PM
0074,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0074,B01B0106,8888336032900,8888336032900,8888336032900,8888336032900,ฮักกี้ซอฟท์แอนด์สลิมXXL 32ชิ้น,3,431.7,17 Feb 10:07PM
0075,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0075,B01B0106,8888336032924,8888336032924,8888336032924,8888336032924,ฮักกี้ซอฟท์แอนด์สลิมL 44ชิ้น,1,431.7,17 Feb 10:07PM
0076,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0076,B01B0106,8853474065608,8853474065608,8853474065608,8853474065608,สมาร์ทเตอร์กะดาษชำระเอ็กตราX24,4,128.52,17 Feb 10:07PM
0077,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0077,B01B0106,8853474065608,8853474065608,8853474065608,8853474065608,สมาร์ทเตอร์กะดาษชำระเอ็กตราX24,4,128.52,17 Feb 10:08PM
0078,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0078,B01B0106,8853474044559,8853474044559,8853474044559,8853474044559,สมาร์ทเตอร์กระดาษชำระ3เท่า X6,12,50.29,17 Feb 10:08PM
0079,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0079,B01B0106,6926508610807,6926508610807,6926508610807,6926508610807,แอดเวนเจอฟอซรถของเลนในรถบรรทุก,12,211.92,17 Feb 10:08PM
0080,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0080,B01B0106,8853474066711,8853474066711,8853474066711,8853474066711,สมาร์ทเตอร์สไมลี่เช็ดหน้า150X3,9,57,17 Feb 10:09PM
0081,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0081,B01B0106,8850046171309,8850046171309,8850046171309,8850046171309,เซลล็อกซ์เอ็กซ์ตร้าบิ๊กโรล X30,4,199.11,17 Feb 10:09PM
0082,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0082,B01B0106,8888336011318,8888336011318,8888336011318,8888336011318,สก็อตต์กระดาษอเนกประสงค์ 90 X6,5,129.01,17 Feb 10:09PM
0083,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0083,B01B0106,8850046171309,8850046171309,8850046171309,8850046171309,เซลล็อกซ์เอ็กซ์ตร้าบิ๊กโรล X30,4,199.11,17 Feb 10:09PM
0084,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0084,B01B0106,8853474065608,8853474065608,8853474065608,8853474065608,สมาร์ทเตอร์กะดาษชำระเอ็กตราX24,4,128.52,17 Feb 10:09PM
0085,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0085,B01B0106,8850046171309,8850046171309,8850046171309,8850046171309,เซลล็อกซ์เอ็กซ์ตร้าบิ๊กโรล X30,4,199.11,17 Feb 10:09PM
